agentId,agentWallet,score,units
19719,0x2f9e99a549391D840ac43FEFEf1BA5CF98eF908D,57.99,10
20177,0xaD47066bD456E6bb6249Bac5A4E3a09608eE4A71,57.99,10
24371,0x192e8ba2Ee23A693439079BE6460894C0471c843,57.99,10
24372,0x16331a47f28710D4D7195a4F85897f4361E5FAAE,57.99,10
24373,0x95D41D96B72b2C87F1cb25B639abd1F98B070EC8,57.99,10
24374,0x18Fe8fe4060094557082e6B5EB73574931bA1379,57.99,10
24376,0x8bFa46Ec783f973Cd6D4239796d41c8114ddDc20,57.99,10
24377,0x2311d3Fdc67763A6dF43a6C700D63bF04dd7937c,57.99,10
24378,0x6071B2144Eab2B19AF7dF68374F42c4c120CC234,57.99,10
24409,0x51b41315d0D7391A449fDBA0d907f616CA21d2C1,57.99,10
20424,0x5DD2E790d54b79Cf0DaB1f63b8AbE44Fe2DfC4c4,57.97,10
20447,0xe538136Af09a3D1866783D615cDAA1F3DE29284F,57.97,10
20505,0x4b1dF6d28B40F6f1C026e5Ab7f0E68CCD2ca60E2,57.96,10
20622,0x54e8c186Daf219345fc479700D88e4a15397da95,57.96,10
20699,0x484dc2CdA5d0b18198Bf09d7971b94268186A030,57.96,10
20732,0x5A488A9bec9b9964Cd4E1bAaad4D57fEB545877f,57.96,10
25336,0x19716A8dF497b8e962041410CEaE2ac07196c27d,57.95,10
19610,0xCF6cA610858AA4f5B4B19567aC7aCC91098DA20b,57.94,10
19665,0x712A1319d5c93F344E1A89f1D32456303f596Ed6,57.94,10
19671,0xd463C5b2b17d4a51A4aFeAa3f2C7E60Ca11Ee712,57.94,10
19709,0x55B1138C2f44Cf3667dFe47356AAbf7476ee8593,57.94,10
19713,0xc30CDe05e6B002692D058c5E62d3EAa7A8709bA9,57.94,10
19727,0x7e9B17e80a78D7D727BabCc20084f5D300e43B46,57.94,10
20181,0x6B697769c64865DC46f5D321B3f58B3F53eA0248,57.94,10
19358,0x243c4d008EA442230cAb5caAE5Fd664847dCFA18,57.93,10
20375,0x95eB64CEF54766657F0FD431403A8e40ECd94b2D,57.93,10
20446,0xd1a75CD54CA0c4b11Fdf41B40648768F420ca98c,57.93,10
20480,0x6a3e60D3AEda20E86F5FA078d1D8de5BE8B7EB97,57.93,10
25314,0x532dF901042B8C44Be09a5ad79e9C266f3790139,57.85,10
24743,0x74b6054A713c3A1278B1E2CD5780efdd1F421997,57.79,10
24776,0xb55Ed905c1Af1700BF4385767e46e706c56D864C,57.77,10
22693,0x549C27e27F7f80Af6F5B0EE991E09372eCb11020,57.75,10
24535,0xD9c04f70C62D7d93fE50024D32013Ddc1FAaa6a5,57.75,10
23932,0x6EEE1cc04E9153Ee5B5EA63380d992DA8DA99a90,57.73,10
21744,0xbdeAA3Ce160837c9089c45288CFfc93eF0f9Ffb0,57.71,20
22171,0x28112D3c3f07c4Aca3A2E377c887fe2A32265628,57.71,10
22733,0x0BCd71bE4Bc5a2F3E00d6D137bDfd710169DB4e0,54.28,10
25370,0x8Abe2eAAa8231A2d957BbBe2055c36b544d7C3Ec,54.24,10
27896,0xceE846292cc01D7dbB05D2e09C0ad44c0106d20b,54.12,10
22344,0x554E81E45E5c6f4f712bDc5B617E24BaBBddB853,53.95,10
22057,0xa67553eA6e2138b5AF0c2C7268385ea0989E8E73,53.91,10
20995,0xe8d487344AEF41f9E4D63841552F670eF4f49784,53.84,10
24110,0xc77a2fE6EE32C014360a29E10f4Ac0724b2c99EB,52.5,10
23798,0x1D617CDC5DbA15E928B1f4e87D07f6F1f5699C96,52.47,10
23861,0x7627835A3C041A130d505743C51dA3ac028De12d,52.47,10
23875,0x350344fE0de8342008b618B7Cd4bEdA2Ed67a192,52.47,10
19450,0x32ea57Ba5Ba35571497c9045A9AD51Dca8B7D807,52.43,60
23229,0x1Cc18B761C6Cbd1ceed4BeC04361d1D0ba0B7D2a,52.43,10
23347,0x1e4cA424644c0168bd120DCCAbf5B5C11D00ff1e,52.43,10
23534,0x493653cDfAa2B3b22aFB12983F5ad05c88d6E9F1,52.43,10
23602,0xd7a87F469959f148de4a0dD70A36810bC96Cb61E,52.43,10
23766,0x70dB9260bdb9A8910851F71dCa8C3742785929D5,52.43,10
23873,0xFf7855599EecDB4f393C399E10Ce74aFc8692E77,52.43,10
23939,0x0e0daeAE9e74857883fdA3B617E7B26A4e73Cb05,52.43,10
23960,0xBD4EeaEBc5047E4eAB835e25d212E3E70e559217,52.43,10
19224,0x66ca5489a8fEfe67dc4431220D92aD96fDA9481c,52.41,50
22182,0xB75B63E27a53471f293F29BfF35b9cC43057Bb51,52.41,10
22595,0x5314Eb9D579e8962267665A9C987FC4397ed7F9d,52.41,10
22937,0xA39eabeF29Fb0A42A3750FCF7C17e6fF80D9675E,52.41,10
19207,0x66ca5489a8fEfe67dc4431220D92aD96fDA9481c,52.37,50
19236,0x32ea57Ba5Ba35571497c9045A9AD51Dca8B7D807,52.37,60
19239,0x32ea57Ba5Ba35571497c9045A9AD51Dca8B7D807,52.37,60
19229,0xeD2EE99B16859369d9b986D0074f065eCb7485b2,52.33,10
19448,0x32ea57Ba5Ba35571497c9045A9AD51Dca8B7D807,52.33,60
24252,0x88bB5c7Ac1e2333Cb549e837F7D36e1842765977,49.68,10
24234,0xA4eD21D63a9bA6b84983612e1476483c6D508FCc,49.65,10
24241,0x14958dF088A2D50CE6ceb9A64a4aA9BF32b0611B,49.65,10
24253,0xAb92d62eBE4F36D7B20f459402085297dc3a1475,49.61,10
24265,0x65298F0d8595A804c0a20E4dd49B7F19cEa83294,49.61,10
24236,0x6a8Bf737f31cC91Dc55E553Ce066b8e1246171C6,49.53,10
24237,0xb317E4A76872670c11464dE67D4fdbc6D7f97033,49.53,10
24239,0x6Fd3Ab5A843c173e447a485D4BE04395a761b4d1,49.53,10
24256,0x3B5eef73A1606EBE4210C2D3B692e43244d09D74,49.53,10
24268,0x948FBeA371164Aac148D049b0087BD94EA6f393F,49.53,10
24270,0xA6DF2e34bD91545851aC138cbfdAdE7E14CedD95,49.53,10
24273,0x7CE96466918473c76672B59d11d5CC4eE06B3Bef,49.53,10
24280,0xbd532b1c27C86ae38e25Edb5d689198402000Ef2,49.53,10
24281,0x1963A333aa837B28b9265ad58Ac6033fF46b05c7,49.53,10
24283,0x7d51B59d12E22CdC7973C9f1192C95A5c67FC341,49.53,10
24289,0x437b0CD36A711dDcf3cA55a684c24389F5E8D1E1,49.53,10
